Circuit delay: 2844.59 picoseconds

Gate slacks:
INPUT-P1_REG1_REG_18__SCAN_IN: 2055.9 picoseconds
INPUT-P1_REG1_REG_19__SCAN_IN: 1969.7 picoseconds
INPUT-P1_REG1_REG_20__SCAN_IN: 2070.96 picoseconds
INPUT-P1_REG1_REG_21__SCAN_IN: 2027.86 picoseconds
INPUT-P1_REG1_REG_22__SCAN_IN: 1973.67 picoseconds
INPUT-P1_REG1_REG_23__SCAN_IN: 2113.12 picoseconds
INPUT-P1_REG1_REG_24__SCAN_IN: 2157.95 picoseconds
INPUT-P1_REG1_REG_25__SCAN_IN: 2140.76 picoseconds
INPUT-P1_REG1_REG_26__SCAN_IN: 2174.73 picoseconds
INPUT-P1_REG1_REG_27__SCAN_IN: 2094.55 picoseconds
INPUT-P1_REG1_REG_28__SCAN_IN: 2129.49 picoseconds
INPUT-P1_REG1_REG_29__SCAN_IN: 2298.04 picoseconds
INPUT-P1_REG1_REG_30__SCAN_IN: 1842.54 picoseconds
INPUT-P1_REG1_REG_31__SCAN_IN: 1833.9 picoseconds
INPUT-P1_REG2_REG_0__SCAN_IN: 1654.18 picoseconds
INPUT-P1_REG2_REG_1__SCAN_IN: 1687.14 picoseconds
INPUT-P1_REG2_REG_2__SCAN_IN: 1572.68 picoseconds
INPUT-P1_REG2_REG_3__SCAN_IN: 1511.52 picoseconds
INPUT-P1_REG2_REG_4__SCAN_IN: 1632.24 picoseconds
INPUT-P1_REG2_REG_5__SCAN_IN: 1561.44 picoseconds
INPUT-P1_REG2_REG_6__SCAN_IN: 1621.33 picoseconds
INPUT-P1_REG2_REG_7__SCAN_IN: 1689.15 picoseconds
INPUT-P1_REG2_REG_8__SCAN_IN: 1683.39 picoseconds
INPUT-P1_REG2_REG_9__SCAN_IN: 1708.2 picoseconds
INPUT-P1_REG2_REG_10__SCAN_IN: 1611.88 picoseconds
INPUT-P1_REG2_REG_11__SCAN_IN: 1748.23 picoseconds
INPUT-P1_REG2_REG_12__SCAN_IN: 1812.87 picoseconds
INPUT-P1_REG2_REG_13__SCAN_IN: 1837.17 picoseconds
INPUT-P1_REG2_REG_14__SCAN_IN: 1840.38 picoseconds
INPUT-P1_REG2_REG_15__SCAN_IN: 1755.44 picoseconds
INPUT-P1_REG2_REG_16__SCAN_IN: 1827.56 picoseconds
INPUT-P1_REG2_REG_17__SCAN_IN: 1948.4 picoseconds
INPUT-P1_REG2_REG_18__SCAN_IN: 2055.9 picoseconds
INPUT-P1_REG2_REG_19__SCAN_IN: 1969.7 picoseconds
INPUT-P1_REG2_REG_20__SCAN_IN: 2070.96 picoseconds
INPUT-P1_REG2_REG_21__SCAN_IN: 2027.86 picoseconds
INPUT-P1_REG2_REG_22__SCAN_IN: 1973.67 picoseconds
INPUT-P1_REG2_REG_23__SCAN_IN: 2113.12 picoseconds
INPUT-P1_REG2_REG_24__SCAN_IN: 2157.95 picoseconds
INPUT-P1_REG2_REG_25__SCAN_IN: 2140.76 picoseconds
INPUT-P1_REG2_REG_26__SCAN_IN: 2174.73 picoseconds
INPUT-P1_REG2_REG_27__SCAN_IN: 2094.55 picoseconds
INPUT-P1_REG2_REG_28__SCAN_IN: 2129.49 picoseconds
INPUT-P1_REG2_REG_29__SCAN_IN: 2298.04 picoseconds
INPUT-P1_REG2_REG_30__SCAN_IN: 1842.54 picoseconds
INPUT-P1_REG2_REG_31__SCAN_IN: 1833.9 picoseconds
INPUT-P1_ADDR_REG_19__SCAN_IN: 291.089 picoseconds
INPUT-P1_ADDR_REG_18__SCAN_IN: 3025.84 picoseconds
INPUT-P1_ADDR_REG_17__SCAN_IN: 2976.73 picoseconds
INPUT-P1_ADDR_REG_16__SCAN_IN: 2937.04 picoseconds
INPUT-P1_ADDR_REG_15__SCAN_IN: 2897.34 picoseconds
INPUT-P1_ADDR_REG_14__SCAN_IN: 2857.65 picoseconds
INPUT-P1_ADDR_REG_13__SCAN_IN: 2817.96 picoseconds
INPUT-P1_ADDR_REG_12__SCAN_IN: 2778.27 picoseconds
INPUT-P1_ADDR_REG_11__SCAN_IN: 2738.57 picoseconds
INPUT-P1_ADDR_REG_10__SCAN_IN: 2698.88 picoseconds
INPUT-P1_ADDR_REG_9__SCAN_IN: 2659.19 picoseconds
INPUT-P1_ADDR_REG_8__SCAN_IN: 2619.5 picoseconds
INPUT-P1_ADDR_REG_7__SCAN_IN: 2579.8 picoseconds
INPUT-P1_ADDR_REG_6__SCAN_IN: 2540.11 picoseconds
INPUT-P1_ADDR_REG_5__SCAN_IN: 2500.42 picoseconds
INPUT-P1_ADDR_REG_4__SCAN_IN: 2460.72 picoseconds
INPUT-P1_ADDR_REG_3__SCAN_IN: 2421.03 picoseconds
INPUT-P1_ADDR_REG_2__SCAN_IN: 2381.33 picoseconds
INPUT-P1_ADDR_REG_1__SCAN_IN: 2332.51 picoseconds
INPUT-P1_ADDR_REG_0__SCAN_IN: 2309.07 picoseconds
INPUT-P1_DATAO_REG_0__SCAN_IN: 1397.85 picoseconds
INPUT-P1_DATAO_REG_1__SCAN_IN: 1415.11 picoseconds
INPUT-P1_DATAO_REG_2__SCAN_IN: 1435.91 picoseconds
INPUT-P1_DATAO_REG_3__SCAN_IN: 1442.32 picoseconds
INPUT-P1_DATAO_REG_4__SCAN_IN: 1453.01 picoseconds
INPUT-P1_DATAO_REG_5__SCAN_IN: 1460.36 picoseconds
INPUT-P1_DATAO_REG_6__SCAN_IN: 1493.44 picoseconds
INPUT-P1_DATAO_REG_7__SCAN_IN: 1478.25 picoseconds
INPUT-P1_DATAO_REG_8__SCAN_IN: 1483.01 picoseconds
INPUT-P1_DATAO_REG_9__SCAN_IN: 1516.08 picoseconds
INPUT-P1_DATAO_REG_10__SCAN_IN: 1549.16 picoseconds
INPUT-P1_DATAO_REG_11__SCAN_IN: 1531.54 picoseconds
INPUT-P1_DATAO_REG_12__SCAN_IN: 1539.14 picoseconds
INPUT-P1_DATAO_REG_13__SCAN_IN: 1572.22 picoseconds
INPUT-P1_DATAO_REG_14__SCAN_IN: 1605.3 picoseconds
INPUT-P1_DATAO_REG_15__SCAN_IN: 1679.06 picoseconds
INPUT-P1_DATAO_REG_16__SCAN_IN: 1718.76 picoseconds
INPUT-P1_DATAO_REG_17__SCAN_IN: 1758.45 picoseconds
INPUT-P1_DATAO_REG_18__SCAN_IN: 1798.14 picoseconds
INPUT-P1_DATAO_REG_19__SCAN_IN: 1837.84 picoseconds
INPUT-P1_DATAO_REG_20__SCAN_IN: 1877.53 picoseconds
INPUT-P1_DATAO_REG_21__SCAN_IN: 1917.22 picoseconds
INPUT-P1_DATAO_REG_22__SCAN_IN: 1956.92 picoseconds
INPUT-P1_DATAO_REG_23__SCAN_IN: 1996.61 picoseconds
INPUT-P1_DATAO_REG_24__SCAN_IN: 2036.3 picoseconds
INPUT-P1_DATAO_REG_25__SCAN_IN: 2075.99 picoseconds
INPUT-P1_DATAO_REG_26__SCAN_IN: 2115.69 picoseconds
INPUT-P1_DATAO_REG_27__SCAN_IN: 2155.38 picoseconds
INPUT-P1_DATAO_REG_28__SCAN_IN: 2165.96 picoseconds
INPUT-P1_DATAO_REG_29__SCAN_IN: 2327.82 picoseconds
INPUT-P1_DATAO_REG_30__SCAN_IN: 2378.18 picoseconds
INPUT-P1_DATAO_REG_31__SCAN_IN: 2343.99 picoseconds
INPUT-P1_B_REG_SCAN_IN: 2008.62 picoseconds
INPUT-P1_REG3_REG_15__SCAN_IN: 1618.56 picoseconds
INPUT-P1_REG3_REG_26__SCAN_IN: 2027.21 picoseconds
INPUT-P1_REG3_REG_6__SCAN_IN: 1284.21 picoseconds
INPUT-P1_REG3_REG_18__SCAN_IN: 1730.01 picoseconds
INPUT-P1_REG3_REG_2__SCAN_IN: 1573.74 picoseconds
INPUT-P1_REG3_REG_11__SCAN_IN: 1469.96 picoseconds
INPUT-P1_REG3_REG_22__SCAN_IN: 1878.61 picoseconds
INPUT-P1_REG3_REG_13__SCAN_IN: 1544.26 picoseconds
INPUT-P1_REG3_REG_20__SCAN_IN: 1804.31 picoseconds
INPUT-P1_REG3_REG_0__SCAN_IN: 1655.26 picoseconds
INPUT-P1_REG3_REG_9__SCAN_IN: 1395.66 picoseconds
INPUT-P1_REG3_REG_4__SCAN_IN: 1210.15 picoseconds
INPUT-P1_REG3_REG_24__SCAN_IN: 1952.91 picoseconds
INPUT-P1_REG3_REG_17__SCAN_IN: 1692.86 picoseconds
INPUT-P1_REG3_REG_5__SCAN_IN: 1247.06 picoseconds
INPUT-P1_REG3_REG_16__SCAN_IN: 1655.71 picoseconds
INPUT-P1_REG3_REG_25__SCAN_IN: 1990.06 picoseconds
INPUT-P1_REG3_REG_12__SCAN_IN: 1507.11 picoseconds
INPUT-P1_REG3_REG_21__SCAN_IN: 1841.46 picoseconds
INPUT-P1_REG3_REG_1__SCAN_IN: 1688.21 picoseconds
INPUT-P1_REG3_REG_8__SCAN_IN: 1358.51 picoseconds
INPUT-P1_REG3_REG_28__SCAN_IN: 2091.81 picoseconds
INPUT-P1_REG3_REG_19__SCAN_IN: 1767.16 picoseconds
INPUT-P1_REG3_REG_3__SCAN_IN: 1210.15 picoseconds
INPUT-P1_REG3_REG_10__SCAN_IN: 1432.81 picoseconds
INPUT-P1_REG3_REG_23__SCAN_IN: 1915.76 picoseconds
INPUT-P1_REG3_REG_14__SCAN_IN: 1581.41 picoseconds
INPUT-P1_REG3_REG_27__SCAN_IN: 2056.48 picoseconds
INPUT-P1_REG3_REG_7__SCAN_IN: 1321.36 picoseconds
INPUT-P1_STATE_REG_SCAN_IN: 2376.4 picoseconds
INPUT-P1_RD_REG_SCAN_IN: 284.459 picoseconds
INPUT-P1_WR_REG_SCAN_IN: 3066.27 picoseconds
INPUT-P2_IR_REG_0__SCAN_IN: 975.824 picoseconds
INPUT-P2_IR_REG_1__SCAN_IN: 975.824 picoseconds
INPUT-P2_IR_REG_2__SCAN_IN: 975.824 picoseconds
INPUT-P2_IR_REG_3__SCAN_IN: 975.824 picoseconds
INPUT-P2_IR_REG_4__SCAN_IN: 975.824 picoseconds
INPUT-P2_IR_REG_5__SCAN_IN: 989.248 picoseconds
INPUT-P2_IR_REG_6__SCAN_IN: 989.248 picoseconds
INPUT-P2_IR_REG_7__SCAN_IN: 989.248 picoseconds
INPUT-P2_IR_REG_8__SCAN_IN: 989.248 picoseconds
INPUT-P2_IR_REG_9__SCAN_IN: 987.421 picoseconds
INPUT-P2_IR_REG_10__SCAN_IN: 987.421 picoseconds
INPUT-P2_IR_REG_11__SCAN_IN: 987.421 picoseconds
INPUT-P2_IR_REG_12__SCAN_IN: 987.421 picoseconds
INPUT-P2_IR_REG_13__SCAN_IN: 1021.89 picoseconds
INPUT-P2_IR_REG_14__SCAN_IN: 1021.89 picoseconds
INPUT-P2_IR_REG_15__SCAN_IN: 1021.89 picoseconds
INPUT-P2_IR_REG_16__SCAN_IN: 1047.5 picoseconds
INPUT-P2_IR_REG_17__SCAN_IN: 1044.9 picoseconds
INPUT-P2_IR_REG_18__SCAN_IN: 1044.9 picoseconds
INPUT-P2_IR_REG_19__SCAN_IN: 1044.9 picoseconds
INPUT-P2_IR_REG_20__SCAN_IN: 1044.9 picoseconds
INPUT-P2_IR_REG_21__SCAN_IN: 1079.37 picoseconds
INPUT-P2_IR_REG_22__SCAN_IN: 1079.37 picoseconds
INPUT-P2_IR_REG_23__SCAN_IN: 1079.37 picoseconds
INPUT-P2_IR_REG_24__SCAN_IN: 1104.98 picoseconds
INPUT-P2_IR_REG_25__SCAN_IN: 1185.59 picoseconds
INPUT-P2_IR_REG_26__SCAN_IN: 1185.59 picoseconds
INPUT-P2_IR_REG_27__SCAN_IN: 1206.23 picoseconds
INPUT-P2_IR_REG_28__SCAN_IN: 1206.23 picoseconds
INPUT-P2_IR_REG_29__SCAN_IN: 1283.89 picoseconds
INPUT-P2_IR_REG_30__SCAN_IN: 1318.28 picoseconds
INPUT-P2_IR_REG_31__SCAN_IN: 1132.88 picoseconds
INPUT-P2_D_REG_0__SCAN_IN: 1760.44 picoseconds
INPUT-P2_D_REG_1__SCAN_IN: 2324.87 picoseconds
INPUT-P2_D_REG_2__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_3__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_4__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_5__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_6__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_7__SCAN_IN: 2246.07 picoseconds
INPUT-P2_D_REG_8__SCAN_IN: 2246.07 picoseconds
INPUT-P2_D_REG_9__SCAN_IN: 2246.07 picoseconds
INPUT-P2_D_REG_10__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_11__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_12__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_13__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_14__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_15__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_16__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_17__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_18__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_19__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_20__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_21__SCAN_IN: 2226.47 picoseconds
INPUT-P2_D_REG_22__SCAN_IN: 2246.07 picoseconds
INPUT-P2_D_REG_23__SCAN_IN: 2246.07 picoseconds
INPUT-P2_D_REG_24__SCAN_IN: 2246.07 picoseconds
